Iteration,Average Episodic Length,Average Episodic Return,Average Actor Loss,Average Critic Loss,Timesteps So Far,Iteration Time (secs)
1,96.0,-105.29,-0.0023760875,387.1605,96,31.13
2,96.0,-106.92,0.0002943794,353.51443,192,17.3
3,96.0,-114.03,-0.0002562284,410.18954,288,18.17
4,96.0,-115.51,-0.0002222896,445.16818,384,18.34
5,96.0,-113.71,-0.000129052,453.34186,480,17.62
6,96.0,-111.08,7.98623e-05,439.21722,576,16.6
7,96.0,-107.85,5.5909e-06,401.11038,672,20.89
8,96.0,-136.71,-0.0018471322,539.19775,768,18.02
9,96.0,-97.08,-0.002352935,304.906,864,18.07
10,96.0,-126.41,0.0001023869,521.6004,960,19.46
11,96.0,-92.88,-0.0002656738,265.0452,1056,30.11
12,96.0,-118.28,-0.0005572598,449.45737,1152,17.48
13,96.0,-104.92,0.0002438466,362.715,1248,19.06
14,96.0,-109.04,-8.87593e-05,391.25714,1344,17.81
15,96.0,-119.03,-0.0011112969,453.68927,1440,18.74
16,96.0,-121.95,0.0002665321,424.8963,1536,17.05
17,96.0,-101.09,-0.0007950326,315.16647,1632,18.14
18,96.0,-108.78,-0.0016310891,383.846,1728,18.94
19,96.0,-135.12,0.0008462748,591.9257,1824,18.89
20,96.0,-105.77,-0.0011014661,337.89966,1920,18.43
21,96.0,-104.4,-0.0015396407,370.85736,2016,30.67
22,96.0,-115.19,-0.0042255046,407.6881,2112,19.53
23,96.0,-82.08,-0.0028552613,191.31386,2208,27.45
24,96.0,-97.57,-0.0022416115,287.9125,2304,18.96
25,96.0,-102.1,-0.007332449,300.71133,2400,19.01
26,96.0,-74.72,-0.0025614141,150.25473,2496,22.67
27,96.0,-88.18,0.0006906152,196.40393,2592,22.63
28,96.0,-100.39,-0.006183525,299.49496,2688,21.91
29,96.0,-104.19,0.003890572,300.65506,2784,19.19
30,96.0,-79.11,-0.0008677801,140.87141,2880,22.12
31,96.0,-81.49,0.0002418439,147.75273,2976,35.58
32,96.0,-82.35,-0.0005165776,128.64551,3072,21.7
33,96.0,-100.48,-7.12057e-05,214.85808,3168,21.56
