Iteration,Average Episodic Length,Average Episodic Return,Average Actor Loss,Average Critic Loss,Timesteps So Far,Iteration Time (secs)
34,96.0,-70.75,0.0001155476,73.76132,3264,26.53
35,96.0,-96.45,-0.0015092772,172.45508,3360,20.38
36,96.0,-85.02,-0.0006501417,84.14158,3456,20.26
37,96.0,-90.95,-0.0003300111,76.73645,3552,20.85
38,96.0,-85.98,0.0003871719,80.065895,3648,20.23
39,96.0,-90.07,-0.0005193592,77.00784,3744,23.42
40,96.0,-99.45,-0.0021945876,39.80596,3840,20.93
41,96.0,-115.45,0.0002431094,96.87904,3936,31.7
42,96.0,-74.89,0.0003401001,39.461777,4032,24.3
43,96.0,-75.32,-0.0004719556,49.820904,4128,23.0
44,96.0,-95.11,-0.0007864476,44.96508,4224,22.47
45,96.0,-105.34,-0.0059098564,65.50615,4320,28.29
46,96.0,-130.35,0.0006479342,162.35448,4416,22.45
47,96.0,-118.36,-0.0015045803,96.26014,4512,20.79
48,96.0,-104.97,-0.0002844214,60.619457,4608,20.66
49,96.0,-81.34,-0.0011210025,113.47991,4704,24.34
50,96.0,-119.02,-0.001900371,67.98497,4800,21.52
51,96.0,-98.82,-0.0008317928,31.99133,4896,31.77
52,96.0,-92.02,0.0001879056,105.17055,4992,19.5
53,96.0,-80.06,-0.0004291713,66.803635,5088,19.21
54,96.0,-104.58,-0.0026775878,51.699318,5184,18.32
55,96.0,-87.29,0.0002713561,70.94077,5280,22.65
56,96.0,-82.13,-0.0015126786,53.92052,5376,20.86
57,96.0,-112.99,-0.0030783375,49.50173,5472,21.24
58,96.0,-105.22,0.000608329,28.194141,5568,20.85
59,96.0,-74.48,0.0004013538,59.97689,5664,21.84
60,96.0,-95.56,-0.0017636002,45.630035,5760,22.54
61,96.0,-86.33,0.0003378709,40.43271,5856,35.04
62,96.0,-135.57,0.0003012121,140.00494,5952,18.63
63,96.0,-103.5,-4.33266e-05,33.11545,6048,22.21
64,96.0,-105.76,2.72453e-05,31.755875,6144,24.09
65,96.0,-87.84,-0.0001184662,27.571653,6240,22.08
66,96.0,-112.47,8.28981e-05,41.64867,6336,22.49
67,96.0,-108.16,-0.0003910105,36.486584,6432,21.29
68,96.0,-91.35,0.0002084832,54.19284,6528,17.74
69,96.0,-79.29,7.2372e-05,127.21401,6624,25.67
70,96.0,-103.4,-6.20961e-05,56.85187,6720,20.79
71,96.0,-104.85,-6.90003e-05,42.6855,6816,34.93
72,96.0,-101.94,-0.0002372305,56.20048,6912,23.3
73,96.0,-98.88,-0.0013055464,53.137093,7008,19.36
74,96.0,-98.59,0.0007163227,94.14422,7104,24.45
75,96.0,-105.67,-3.44634e-05,71.03867,7200,19.45
76,96.0,-120.15,2.66174e-05,79.96063,7296,22.49
77,96.0,-120.65,-1.15871e-05,101.373245,7392,19.83
78,96.0,-93.63,-0.0003466169,40.057198,7488,20.38
79,96.0,-111.57,-0.001795435,60.474464,7584,20.45
80,96.0,-98.85,0.0008852522,34.766224,7680,21.65
81,96.0,-71.47,1.3121e-05,88.604935,7776,37.63
82,96.0,-103.13,-0.0009182096,28.13392,7872,19.34
83,96.0,-128.85,0.0002401888,87.54842,7968,18.99
84,96.0,-89.73,-0.0020243526,40.975716,8064,22.49
85,96.0,-111.98,-0.0019189756,99.45891,8160,21.67
86,96.0,-108.77,-0.012722349,38.91052,8256,18.86
87,96.0,-104.55,0.0041066445,39.73523,8352,19.7
88,96.0,-117.62,0.0002521833,98.24066,8448,20.16
89,96.0,-84.61,0.0001243234,18.95586,8544,20.48
90,96.0,-86.96,-0.0001192411,50.47238,8640,24.13
91,96.0,-97.5,-0.0004982392,42.178665,8736,34.96
92,96.0,-88.63,-0.0027537625,14.985072,8832,22.35
93,96.0,-99.83,0.0017848312,44.889046,8928,19.82
94,96.0,-106.42,-0.0015408179,26.571472,9024,22.25
95,96.0,-97.06,-0.0056633335,84.94519,9120,24.73
96,96.0,-104.34,-0.0006126781,41.3161,9216,18.9
97,96.0,-65.81,-0.0012469133,48.158623,9312,25.37
98,96.0,-104.85,-0.0008601925,82.27727,9408,18.35
99,96.0,-89.11,-0.0005316814,22.649387,9504,18.2
100,96.0,-115.54,0.000278465,77.81051,9600,18.25
101,96.0,-109.02,3.01917e-05,43.467495,9696,32.85
102,96.0,-90.33,-0.0023147862,83.551895,9792,24.08
103,96.0,-106.64,-0.0002903263,49.137096,9888,19.64
104,96.0,-79.58,0.0008299544,22.242558,9984,19.42
105,96.0,-97.93,-2.1378e-06,47.854668,10080,21.57
106,96.0,-98.45,-6.25014e-05,47.87345,10176,19.45
107,96.0,-111.91,-0.0002571026,51.094887,10272,22.49
108,96.0,-88.92,-7.67847e-05,30.322502,10368,22.78
109,96.0,-88.86,-0.0010927797,26.824718,10464,20.69
110,96.0,-110.27,9.39131e-05,40.227165,10560,18.58
111,96.0,-112.93,7.33495e-05,45.73684,10656,31.33
112,96.0,-92.07,2.3643e-06,56.495872,10752,22.53
113,96.0,-90.71,-0.0001192808,28.194632,10848,20.07
114,96.0,-88.72,-0.0003783306,49.684006,10944,17.7
115,96.0,-107.84,0.0001746416,53.40258,11040,18.58
116,96.0,-103.97,-6.8743e-05,95.12332,11136,19.33
117,96.0,-90.22,-0.0007287284,44.48018,11232,20.1
118,96.0,-97.85,-0.0044794446,25.16811,11328,19.71
119,96.0,-104.0,0.0021639667,40.25686,11424,22.24
120,96.0,-99.06,-8.80281e-05,51.04509,11520,23.59
121,96.0,-95.13,0.000131621,50.92431,11616,31.99
122,96.0,-97.67,-0.0004686674,61.827316,11712,23.24
123,96.0,-102.52,-0.0014210781,53.607037,11808,21.09
124,96.0,-90.62,-0.0006805301,22.8214,11904,20.28
125,96.0,-102.49,-0.0021864932,43.77016,12000,19.01
126,96.0,-69.53,0.0011087796,69.057846,12096,28.95
127,96.0,-115.09,-0.0003219724,97.17236,12192,21.69
128,96.0,-89.13,0.0001417001,32.603645,12288,24.12
129,96.0,-76.97,-7.50383e-05,23.581509,12384,24.3
130,96.0,-108.94,-0.0007219812,55.501087,12480,20.61
131,96.0,-107.91,0.0004213979,53.616585,12576,35.15
132,96.0,-95.94,-0.0005927414,35.128185,12672,20.76
133,96.0,-100.23,0.0004677972,52.759865,12768,20.28
134,96.0,-79.85,-0.0001950482,37.586742,12864,19.49
135,96.0,-107.8,0.0001490951,41.87416,12960,19.19
136,96.0,-105.72,8.4619e-06,27.908983,13056,21.17
137,96.0,-88.17,-0.0001543959,44.41973,13152,24.96
138,96.0,-104.35,-0.0001634091,57.12545,13248,20.54
139,96.0,-90.69,-0.0003775358,30.913574,13344,21.56
140,96.0,-99.18,5.31594e-05,40.61891,13440,22.09
141,96.0,-98.67,-1.113e-07,35.70648,13536,34.64
142,96.0,-93.62,-0.0004266202,35.66114,13632,20.43
143,96.0,-78.62,0.0002457649,32.22009,13728,24.51
144,96.0,-92.72,-0.0012579004,36.28039,13824,24.12
145,96.0,-101.94,-0.0011359474,65.4254,13920,23.12
146,96.0,-99.24,8.13643e-05,41.054485,14016,21.27
147,96.0,-112.64,0.0002366602,85.61485,14112,22.87
148,96.0,-105.43,-0.0023088914,43.264366,14208,19.56
