Iteration,Average Episodic Length,Average Episodic Return,Average Actor Loss,Average Critic Loss,Timesteps So Far,Iteration Time (secs)
1,32.0,-1.79,0.60813254,0.43763703,32,7.94
2,32.0,-2.07,0.60621375,0.47814938,64,7.55
3,32.0,-2.17,0.7052486,0.6515465,96,7.07
4,32.0,-0.72,0.22203906,0.064271316,128,9.16
5,32.0,-2.5,0.9108532,0.957879,160,7.22
6,32.0,-2.16,0.5804426,0.5705419,192,7.62
7,32.0,-1.96,0.58398867,0.43628734,224,6.87
8,32.0,-2.35,0.867135,0.8124646,256,7.84
9,32.0,-0.95,0.19184022,0.10704515,288,7.9
10,32.0,-1.78,0.5657445,0.39193842,320,7.62
11,32.0,-1.53,0.51418245,0.32344684,352,7.37
12,32.0,-1.51,0.46693966,0.26855373,384,7.08
13,32.0,-2.27,0.61199534,0.48734117,416,7.01
14,32.0,-2.03,0.76270956,0.5955244,448,7.91
15,32.0,-1.97,0.58689946,0.48056674,480,7.02
16,32.0,-2.13,0.7044637,0.61716807,512,7.02
17,32.0,-1.76,0.5548481,0.36729836,544,7.32
18,32.0,-1.64,0.5745438,0.38260338,576,7.29
