Iteration,Average Episodic Length,Average Episodic Return,Average Actor Loss,Average Critic Loss,Timesteps So Far,Iteration Time (secs)
1,32.0,-2.89,1.0101191,1.1673648,32,7.24
2,32.0,-2.69,1.0374196,1.2042295,64,6.98
3,32.0,-2.58,1.0442504,1.1910028,96,6.77
4,32.0,-2.09,0.73914784,0.689224,128,7.27
5,32.0,-2.36,0.9204818,0.87537205,160,6.78
6,32.0,-2.0,0.67648494,0.52683586,192,6.93
7,32.0,-2.51,1.0016496,1.1465099,224,7.21
8,32.0,-2.87,1.0066478,1.2465882,256,7.23
9,32.0,-1.21,0.41277838,0.22069839,288,7.81
10,32.0,-2.18,0.8279761,0.7677519,320,6.84
