Iteration,Average Episodic Length,Average Episodic Return,Average Actor Loss,Average Critic Loss,Timesteps So Far,Iteration Time (secs)
1,96.0,-5.98,-1.04944e-05,0.9628712,96,33.7
2,96.0,-5.81,-6.74963e-05,0.96609753,192,25.87
3,96.0,-6.59,3.15348e-05,1.2298765,288,24.59
4,96.0,-6.17,-2.8143e-06,1.1202615,384,22.75
5,96.0,-5.79,-9.92238e-05,0.8286454,480,21.03
6,96.0,-7.36,6.5049e-06,1.6004016,576,21.75
7,96.0,-5.65,-6.9042e-06,0.8331233,672,27.82
8,96.0,-6.17,2.81413e-05,0.8279662,768,26.83
9,96.0,-5.75,-7.70966e-05,0.7128009,864,25.9
10,96.0,-7.29,8.1996e-06,1.118639,960,22.35
11,96.0,-6.52,-1.54396e-05,1.1578681,1056,33.64
12,96.0,-5.64,2.54949e-05,0.6745855,1152,22.45
13,96.0,-6.15,1.39952e-05,0.930868,1248,22.78
14,96.0,-6.22,1.20918e-05,0.87666726,1344,22.44
15,96.0,-6.25,-0.0001975755,0.8022728,1440,20.74
16,96.0,-7.32,0.0001181404,1.1871467,1536,21.32
17,96.0,-5.81,-1.50283e-05,0.59745795,1632,27.95
18,96.0,-6.16,-6.95666e-05,0.44363192,1728,21.84
19,96.0,-9.66,1.13467e-05,1.8788192,1824,20.98
20,96.0,-7.19,-0.0004129092,0.59763736,1920,22.92
21,96.0,-5.43,-0.0001865586,0.15777695,2016,41.21
22,96.0,-6.01,-0.0013093001,0.2476413,2112,29.56
23,96.0,-5.92,0.0008867026,0.12978263,2208,22.46
24,96.0,-6.13,-0.000838403,0.16984092,2304,29.3
25,96.0,-6.98,-0.001619941,0.19638667,2400,23.04
26,96.0,-9.09,0.0007219732,0.97500056,2496,23.97
27,96.0,-6.85,-1.45257e-05,0.1554414,2592,22.49
28,96.0,-6.05,-0.0003817022,0.2513635,2688,22.16
29,96.0,-5.71,0.0003220916,0.24111725,2784,26.27
30,96.0,-5.7,-0.0011845728,0.2341798,2880,25.01
31,96.0,-6.86,-0.0010835013,0.2636066,2976,34.81
32,96.0,-6.31,0.0005873482,0.226917,3072,24.44
33,96.0,-8.31,-0.000780341,0.6743621,3168,26.08
34,96.0,-5.41,0.0001613378,0.18759678,3264,27.65
35,96.0,-6.63,-4.30266e-05,0.25304347,3360,27.87
36,96.0,-7.88,-0.0004900674,0.2858165,3456,22.38
37,96.0,-5.99,-0.0005477349,0.13996132,3552,21.5
38,96.0,-5.58,-0.0005829612,0.18114473,3648,28.91
39,96.0,-5.59,0.0001196782,0.09712607,3744,21.73
40,96.0,-5.97,-0.000724415,0.130344,3840,23.01
41,96.0,-6.44,0.0004444063,0.15834981,3936,38.48
42,96.0,-5.55,-0.0002970596,0.24948053,4032,23.45
43,96.0,-4.98,-0.000717477,0.15174925,4128,26.58
44,96.0,-5.0,0.0003015126,0.11229948,4224,26.64
45,96.0,-6.23,-0.0008724571,0.18061331,4320,22.71
46,96.0,-7.5,0.0001611968,0.44091797,4416,24.77
47,96.0,-6.22,-0.0004461428,0.08200619,4512,21.41
48,96.0,-6.11,0.0001742666,0.201193,4608,29.0
49,96.0,-6.52,-7.20084e-05,0.16909173,4704,29.62
50,96.0,-6.49,-0.0005119224,0.3001775,4800,24.8
51,96.0,-5.28,-0.0003863057,0.089282945,4896,33.68
52,96.0,-7.84,1.29079e-05,0.43490472,4992,25.23
