Iteration,Average Episodic Length,Average Episodic Return,Average Actor Loss,Average Critic Loss,Timesteps So Far,Iteration Time (secs)
53,96.0,-5.83,-0.0007866065,0.2103484,5088,22.28
54,96.0,-5.87,-4.40756e-05,0.11623401,5184,25.69
55,96.0,-5.22,8.28008e-05,0.1436561,5280,29.59
56,96.0,-6.63,-3.1829e-06,0.25085256,5376,29.19
57,96.0,-6.47,-2.55187e-05,0.10883813,5472,29.21
58,96.0,-6.04,-6.8599e-05,0.13373318,5568,21.2
59,96.0,-6.72,-0.0015399496,0.15184799,5664,22.32
60,96.0,-7.26,5.72244e-05,0.23594901,5760,25.56
61,96.0,-6.86,-0.0012004673,0.2930769,5856,33.83
62,96.0,-5.92,-0.000179861,0.1413691,5952,22.3
63,96.0,-5.94,-0.0001782735,0.19151835,6048,28.58
64,96.0,-5.09,-3.11593e-05,0.15544268,6144,29.52
65,96.0,-6.04,-0.000680685,0.1362736,6240,28.3
66,96.0,-5.3,-0.000800244,0.1481647,6336,24.98
67,96.0,-5.03,0.0001768112,0.09111361,6432,27.89
68,96.0,-5.69,-0.0003008187,0.16129391,6528,25.65
69,96.0,-5.08,-0.0005749106,0.0824115,6624,29.95
70,96.0,-6.34,0.000432831,0.19016337,6720,20.96
71,96.0,-5.65,-0.0002947753,0.20562701,6816,37.97
72,96.0,-5.91,-0.000546815,0.16725744,6912,27.9
73,96.0,-6.37,-0.001708126,0.24498929,7008,30.25
74,96.0,-6.58,-0.0013128499,0.3765498,7104,21.63
75,96.0,-5.76,-0.0051106694,0.11754377,7200,28.38
76,96.0,-6.67,-0.0006099402,0.19477281,7296,26.93
77,96.0,-7.36,-0.0007816612,0.38603035,7392,24.2
78,96.0,-5.66,0.0005391161,0.15442058,7488,31.38
79,96.0,-8.19,4.96502e-05,0.29624775,7584,28.99
80,96.0,-5.46,-0.0012994012,0.16022149,7680,24.21
81,96.0,-8.13,-0.0009558837,0.35572225,7776,39.84
82,96.0,-4.88,0.0009956002,0.22354688,7872,27.1
83,96.0,-5.61,-0.0009619951,0.13439447,7968,28.33
84,96.0,-6.15,0.0001351963,0.17595153,8064,28.12
85,96.0,-6.88,0.000128003,0.20916939,8160,28.58
86,96.0,-6.62,8.13007e-05,0.19237038,8256,25.2
87,96.0,-6.37,-0.0005350749,0.23961017,8352,26.57
88,96.0,-6.08,-0.0001828492,0.17708676,8448,28.68
89,96.0,-5.25,-0.0008645396,0.13238364,8544,22.24
90,96.0,-6.58,-9.10971e-05,0.30762047,8640,25.19
91,96.0,-4.81,0.0002254088,0.124573745,8736,37.27
92,96.0,-5.9,-0.000422585,0.09404357,8832,25.14
93,96.0,-6.95,0.0002530853,0.17164668,8928,23.65
94,96.0,-5.81,-0.0010338426,0.3149088,9024,23.13
95,96.0,-6.89,-0.0004903506,0.30525774,9120,24.33
96,96.0,-5.74,-0.0009172092,0.1283448,9216,26.91
97,96.0,-5.77,2.4666e-06,0.15159833,9312,28.93
